Model,CV_RMSE_Mean,CV_RMSE_Std,CV_MAE_Mean,CV_R2_Mean
Gradient Boosting,1574073.7756003658,248314.22854514865,717254.7284286713,0.6083764906759017
Linear Regression,1626812.544643056,168689.6514451518,961247.1771284041,0.5751070989181019
Random Forest,1627480.4881048512,236819.96270840886,766011.245855481,0.5813917383078213
