Feature,Importance_MAE_Delta,Std
League,190203.48456023348,17893.708049080047
Apps_per_Year,181354.80483454018,12570.3953410749
Club,169090.95452224315,22369.45725941075
Caps_per_App,135190.81515767224,5890.078776970835
Apps,106168.15692351139,8337.475388247462
International_Exposure,86373.38428657532,8974.979041511051
Nation,59018.23115034093,6790.417141949156
Caps,55669.04003906816,8894.093939374583
Age,14038.598607757618,3126.340900956535
Position,332.19850100469773,495.05658026356684
