Player_ID,Wage,Age,Club,League,Nation,Position,Apps,Caps,Caps_per_App,Apps_per_Year,International_Exposure
P00047,11440000.0,29,Tottenham,Premier League,ENG,Forward,341,73,0.21407624633431085,26.23076923076923,5.615384615384615
P00048,11440000.0,28,FC Bayern,Bundesliga,POR,Defender,264,36,0.13636363636363635,22.0,3.0
P00049,11177000.0,23,PSG,Ligue 1 Uber Eats,ITA,Goalkeeper,239,46,0.19246861924686193,34.142857142857146,6.571428571428571
P00050,11177000.0,26,FC Bayern,Bundesliga,FRA,Defender,155,32,0.2064516129032258,15.5,3.2
P00051,11173000.0,22,Juventus,Serie A,SRB,Forward,138,14,0.10144927536231885,23.0,2.3333333333333335
P00052,10973000.0,29,R. Madrid,La Liga,GER,Defender,282,53,0.1879432624113475,21.692307692307693,4.076923076923077
P00053,10400000.0,28,Man City,Premier League,ENG,Defender,225,58,0.2577777777777778,18.75,4.833333333333333
P00054,10400000.0,29,Man UFC,Premier League,ENG,Defender,374,46,0.12299465240641712,28.76923076923077,3.5384615384615383
P00055,10400000.0,31,Man City,Premier League,ALG,Midfielder,367,75,0.20435967302452315,24.466666666666665,5.0
P00056,10385000.0,31,Juventus,Serie A,BRA,Defender,325,37,0.11384615384615385,21.666666666666668,2.466666666666667
P00057,10380000.0,35,Juventus,Serie A,ITA,Defender,477,116,0.2431865828092243,25.105263157894736,6.105263157894737
P00058,10380000.0,32,Juventus,Serie A,POL,Goalkeeper,373,64,0.17158176943699732,23.3125,4.0
P00059,10346000.0,25,Barcelona,La Liga,CIV,Midfielder,253,56,0.22134387351778656,28.11111111111111,6.222222222222222
P00060,10346000.0,34,Barcelona,La Liga,ESP,Midfielder,480,137,0.28541666666666665,26.666666666666668,7.611111111111111
P00061,10346000.0,25,Barcelona,La Liga,FRA,Midfielder,165,27,0.16363636363636364,18.333333333333332,3.0
P00062,10346000.0,25,Barcelona,La Liga,BRA,Midfielder,190,9,0.04736842105263158,21.11111111111111,1.0
P00063,10346000.0,19,Barcelona,La Liga,ESP,Forward,44,4,0.09090909090909091,14.666666666666666,1.3333333333333333
P00064,10346000.0,26,Barcelona,La Liga,DEN,Defender,160,56,0.35,16.0,5.6
P00065,10317000.0,35,Nottm Forest,Premier League,CRC,Goalkeeper,325,107,0.3292307692307692,17.105263157894736,5.631578947368421
P00066,10244000.0,30,Tottenham,Premier League,KOR,Midfielder,379,102,0.2691292875989446,27.071428571428573,7.285714285714286
P00067,9887000.0,28,A. Bilbao,La Liga,GHA,Midfielder,309,0,0.0,25.75,0.0
P00068,9880000.0,32,Liverpool,Premier League,ENG,Midfielder,406,69,0.16995073891625614,25.375,4.3125
P00069,9880000.0,29,Liverpool,Premier League,BRA,Goalkeeper,224,55,0.24553571428571427,17.23076923076923,4.230769230769231
P00070,9880000.0,25,Chelsea,Premier League,ENG,Defender,147,17,0.11564625850340136,16.333333333333332,1.8888888888888888
P00071,9672000.0,22,R. Madrid,La Liga,BRA,Forward,164,14,0.08536585365853659,27.333333333333332,2.3333333333333335
P00072,9656000.0,33,Barcelona,La Liga,ESP,Defender,434,85,0.195852534562212,25.529411764705884,5.0
P00073,9578000.0,25,Inter,Serie A,ARG,Forward,187,38,0.20320855614973263,20.77777777777778,4.222222222222222
P00074,9578000.0,29,Inter,Serie A,CRO,Midfielder,364,74,0.2032967032967033,28.0,5.6923076923076925
P00075,9457000.0,23,FC Bayern,Bundesliga,FRA,Defender,180,6,0.03333333333333333,25.714285714285715,0.8571428571428571
